#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
302,Patty Mills,BRK,36.00,13.30,5.80,2.00,4.90,0.41,1.20,3.20,0.37,0.50,0.60,0.91,0.20,0.80,1.00,1.30,0.40,0.10,0.60,0.80
303,Frank Ntilikina,DAL,36.00,12.00,2.50,0.90,2.70,0.35,0.30,1.40,0.21,0.30,0.50,0.67,0.10,1.10,1.30,1.10,0.20,0.10,0.70,1.40
304,Anthony Davis,LAL,35.00,33.40,26.00,9.80,17.50,0.56,0.40,1.50,0.25,6.00,7.30,0.82,3.30,9.10,12.30,2.50,1.20,2.00,2.10,2.70
305,Desmond Bane,MEM,35.00,31.20,21.50,7.50,16.10,0.47,3.00,7.10,0.43,3.40,3.80,0.90,0.70,4.20,4.90,4.20,1.00,0.40,2.20,2.50
306,"Kelly Oubre, Jr,",CHA,35.00,32.60,20.20,7.50,17.80,0.42,2.30,7.40,0.31,2.90,4.00,0.71,1.50,3.60,5.10,1.20,1.60,0.40,1.30,3.00
307,Precious Achiuwa,TOR,35.00,23.60,10.50,4.00,8.20,0.49,0.50,2.10,0.25,1.90,2.80,0.69,2.10,4.60,6.70,1.00,0.70,0.70,1.20,2.20
308,Max Christie,LAL,35.00,14.20,3.60,1.20,2.90,0.42,0.70,1.80,0.42,0.40,0.50,0.88,0.20,1.90,2.10,0.50,0.20,0.20,0.40,0.90
309,Kawhi Leonard,LAC,34.00,32.40,22.10,8.10,16.20,0.50,1.70,4.40,0.38,4.30,5.00,0.87,1.20,5.00,6.20,4.00,1.40,0.50,1.50,1.40
310,Gordon Hayward,CHA,34.00,31.20,13.90,5.20,11.20,0.46,1.00,3.30,0.32,2.50,3.10,0.81,0.70,3.50,4.20,3.60,0.90,0.20,1.90,1.30
311,Bogdan Bogdanovic,ATL,34.00,29.80,14.60,5.40,12.60,0.43,2.70,7.10,0.38,1.10,1.40,0.77,0.40,2.90,3.40,3.00,0.90,0.30,1.20,1.70
312,John Wall,LAC,34.00,22.20,11.40,4.10,9.90,0.41,1.00,3.20,0.30,2.30,3.30,0.68,0.40,2.30,2.70,5.20,0.80,0.40,2.40,1.70
313,Jalen Suggs,ORL,34.00,23.00,9.40,3.40,7.90,0.43,1.10,3.70,0.31,1.50,2.20,0.68,0.90,1.80,2.70,3.40,1.30,0.50,1.90,2.40
314,DeAndre Jordan,DEN,34.00,14.60,4.90,2.20,2.80,0.77,0.00,0.00,1.00,0.50,1.20,0.44,1.20,3.70,4.90,0.90,0.20,0.60,1.20,1.90
315,Caleb Houstan,ORL,34.00,16.10,4.20,1.50,3.60,0.41,1.00,2.50,0.39,0.30,0.40,0.85,0.70,1.50,2.20,0.50,0.20,0.10,0.40,1.40
316,Davis Bertans,DAL,34.00,10.60,4.10,1.40,3.30,0.42,1.10,2.90,0.38,0.30,0.40,0.83,0.20,0.80,0.90,0.40,0.20,0.10,0.30,1.10
317,LaMelo Ball,CHA,33.00,35.40,23.30,8.30,20.30,0.41,3.90,10.60,0.37,2.90,3.40,0.86,1.20,5.10,6.30,8.40,1.30,0.30,3.50,3.40
318,Devin Booker,PHX,33.00,33.90,26.60,9.50,20.10,0.48,2.20,6.20,0.36,5.30,6.20,0.85,0.70,3.80,4.50,5.50,0.90,0.40,2.50,2.90
319,Jaxson Hayes,NOP,33.00,13.30,5.00,1.80,3.40,0.53,0.10,0.80,0.12,1.20,1.80,0.67,0.90,2.00,2.90,0.70,0.40,0.30,0.60,1.30
320,Romeo Langford,SAS,32.00,20.20,7.40,3.10,6.40,0.49,0.40,1.40,0.28,0.80,1.20,0.65,1.40,1.40,2.90,1.30,0.50,0.30,0.70,1.70
321,Bruno Fernando,ATL,32.00,11.50,4.10,1.60,3.00,0.52,0.00,0.00,0.00,0.90,1.40,0.68,1.50,2.30,3.80,0.90,0.20,1.00,0.70,2.10
322,Aleksej Pokusevski,OKC,31.00,21.90,8.80,3.50,7.80,0.44,1.20,3.30,0.38,0.70,1.10,0.64,1.50,3.60,5.10,2.00,0.60,1.30,1.30,1.80
323,Dean Wade,CLE,31.00,21.70,5.50,1.90,4.30,0.45,1.20,3.00,0.39,0.50,0.70,0.65,0.50,3.20,3.70,0.90,0.70,0.50,0.40,2.30
324,"Duane Washington, Jr,",PHX,31.00,12.70,7.90,3.00,8.30,0.37,1.30,3.60,0.36,0.50,0.80,0.67,0.10,1.10,1.20,2.00,0.20,0.10,1.10,0.70
325,Juan Toscano-Anderson,UTA,31.00,12.60,2.80,1.20,2.30,0.51,0.20,0.70,0.23,0.40,0.50,0.73,0.50,1.80,2.30,0.80,0.40,0.20,0.60,1.50
326,Jaden Hardy,DAL,31.00,11.80,6.50,2.20,5.20,0.42,0.80,2.30,0.34,1.40,1.50,0.88,0.10,1.30,1.40,0.80,0.30,0.10,0.80,1.30
327,Gary Harris,ORL,30.00,24.50,8.70,3.00,6.20,0.49,1.80,4.00,0.46,0.80,0.90,0.89,0.40,1.70,2.10,1.20,0.90,0.20,0.70,2.10
328,Stanley Johnson,SAS,30.00,15.60,5.80,2.20,4.10,0.53,0.60,1.30,0.45,0.90,1.30,0.67,0.70,2.40,3.20,2.20,0.50,0.20,1.10,1.60
329,Landry Shamet,PHX,30.00,21.40,9.50,3.10,8.10,0.38,2.00,5.40,0.38,1.40,1.50,0.91,0.30,1.40,1.70,2.20,0.60,0.20,1.00,1.50
330,Dewayne Dedmon,MIA,30.00,11.70,5.70,2.10,4.30,0.50,0.40,1.20,0.30,1.10,1.50,0.73,0.90,2.70,3.60,0.50,0.20,0.50,0.60,2.00
331,Jake LaRavia,MEM,30.00,12.70,3.20,1.10,2.90,0.40,0.70,2.10,0.34,0.20,0.30,0.78,0.50,1.40,2.00,0.70,0.40,0.10,0.60,1.60
332,Zion Williamson,NOP,29.00,33.00,26.00,9.80,16.20,0.61,0.20,0.70,0.37,6.10,8.60,0.71,2.00,5.00,7.00,4.60,1.10,0.60,3.40,2.20
333,Devin Vassell,SAS,29.00,31.30,19.40,7.10,16.00,0.45,2.80,7.00,0.40,2.40,3.00,0.79,0.20,3.80,4.00,3.60,1.20,0.40,1.60,1.40
334,Delon Wright,WAS,29.00,22.50,6.20,2.30,5.20,0.44,0.70,2.20,0.31,1.00,1.10,0.90,1.00,2.20,3.20,3.70,2.00,0.30,1.00,1.40
335,Mark Williams,CHA,29.00,15.90,7.60,3.00,4.80,0.63,0.00,0.00,0.00,1.60,2.20,0.73,1.70,3.90,5.60,0.30,0.70,1.20,0.80,2.10
336,Justise Winslow,POR,29.00,26.80,6.80,2.80,6.80,0.41,0.50,1.60,0.31,0.70,1.00,0.71,1.70,3.30,5.00,3.40,1.00,0.40,1.50,3.10
337,Willy Hernangomez,NOP,29.00,12.80,7.50,2.60,4.80,0.54,0.00,0.30,0.11,2.30,2.90,0.79,1.70,3.30,5.00,0.90,0.30,0.40,1.10,1.80
338,Orlando Robinson,MIA,29.00,13.70,3.90,1.60,3.00,0.54,0.00,0.20,0.00,0.70,1.00,0.72,1.50,2.60,4.10,0.70,0.40,0.40,0.50,1.80
339,Duncan Robinson,MIA,29.00,18.10,6.90,2.30,6.20,0.37,1.70,5.00,0.33,0.70,0.80,0.91,0.30,1.70,2.00,1.20,0.30,0.00,0.70,2.10
340,Cameron Payne,PHX,28.00,24.00,12.10,4.50,11.00,0.41,1.70,4.50,0.38,1.40,1.80,0.78,0.30,2.00,2.30,5.30,0.90,0.20,2.00,2.00
341,Jeremiah Robinson-Earl,OKC,28.00,20.90,8.20,3.10,6.50,0.48,1.00,2.90,0.36,0.90,1.10,0.78,1.90,2.90,4.80,0.90,0.80,0.40,0.60,1.90
342,"T,J, Warren",PHX,28.00,18.10,9.10,3.80,7.30,0.51,0.60,1.80,0.35,1.00,1.20,0.82,0.50,2.30,2.80,1.00,0.60,0.30,0.60,1.60
343,Javonte Green,CHI,28.00,16.00,5.90,2.20,3.70,0.59,0.50,1.20,0.38,1.00,1.50,0.67,0.90,2.00,2.90,0.80,0.80,0.70,0.70,1.70
344,Ziaire Williams,MEM,28.00,17.40,6.00,2.40,5.70,0.42,0.70,2.90,0.25,0.50,0.60,0.77,0.40,2.10,2.50,0.90,0.40,0.20,1.00,1.80
345,Justin Holiday,ATL,28.00,14.70,4.50,1.70,4.50,0.38,1.10,3.10,0.35,0.00,0.00,0.00,0.10,0.80,0.80,0.90,0.20,0.40,0.40,1.30
346,Admiral Schofield,ORL,27.00,13.00,4.60,1.60,3.40,0.48,0.70,2.00,0.33,0.60,0.70,0.90,0.70,1.20,1.90,0.90,0.20,0.10,0.20,1.90
347,Victor Oladipo,MIA,26.00,28.40,11.20,4.00,10.00,0.40,1.40,4.80,0.30,1.70,2.20,0.75,0.50,3.00,3.50,3.90,1.70,0.20,1.80,2.40
348,Blake Griffin,BOS,26.00,14.40,4.90,1.80,3.50,0.51,0.70,1.80,0.40,0.60,0.90,0.63,0.90,2.50,3.40,1.30,0.30,0.20,0.50,1.90
349,"R,J, Hampton",ORL,26.00,13.90,5.70,1.90,4.40,0.44,0.70,2.00,0.34,1.20,1.40,0.84,0.30,1.20,1.50,1.30,0.60,0.20,0.80,0.80
350,Derrick Rose,NYK,26.00,12.90,5.80,2.30,6.00,0.39,0.70,2.30,0.32,0.40,0.50,0.92,0.30,1.20,1.50,1.80,0.30,0.20,0.80,0.70
351,Bryce McGowens,CHA,26.00,14.70,4.10,1.40,3.70,0.38,0.50,1.30,0.36,0.80,1.10,0.79,0.30,1.30,1.70,1.00,0.30,0.20,0.60,0.80
352,James Bouknight,CHA,26.00,13.60,4.30,1.50,4.70,0.33,0.60,2.50,0.25,0.60,0.80,0.68,0.20,1.80,2.00,1.10,0.50,0.20,0.70,1.10
353,Marvin Bagley III,DET,25.00,21.30,10.60,4.30,8.00,0.54,0.40,1.30,0.27,1.60,2.10,0.77,2.10,3.80,5.90,0.60,0.50,0.70,0.90,2.00
354,Joe Ingles,MIL,25.00,22.50,6.20,2.10,5.60,0.38,1.50,4.40,0.34,0.40,0.50,0.85,0.30,2.60,2.90,3.20,0.60,0.10,1.20,1.60
355,Jaylin Williams,OKC,25.00,15.70,5.30,2.00,4.30,0.47,0.70,1.60,0.45,0.60,0.80,0.67,0.80,3.70,4.60,1.40,0.40,0.20,0.60,1.90
356,Brandon Ingram,NOP,24.00,32.20,22.40,8.10,17.30,0.47,1.50,3.80,0.41,4.70,5.40,0.88,0.50,4.50,5.00,4.90,0.80,0.50,3.30,2.50
357,Robert Williams,BOS,23.00,23.60,8.30,3.80,5.20,0.74,0.00,0.00,0.00,0.70,1.00,0.65,3.20,5.70,8.90,1.70,0.50,1.10,1.00,1.80
358,Cam Reddish,POR,23.00,22.10,8.80,3.20,7.10,0.45,1.00,3.20,0.33,1.30,1.50,0.88,0.30,1.30,1.60,1.10,0.80,0.40,0.70,1.70
359,Evan Fournier,NYK,23.00,18.00,6.80,2.30,6.60,0.35,1.40,4.40,0.32,0.80,0.90,0.86,0.20,1.80,2.00,1.50,0.60,0.10,0.80,1.90
360,Maxi Kleber,DAL,22.00,25.70,6.20,2.30,4.70,0.49,1.10,3.00,0.37,0.50,0.60,0.79,0.90,2.70,3.50,1.00,0.30,1.00,0.60,2.20
361,Karl-Anthony Towns,MIN,21.00,33.80,20.80,7.30,14.40,0.51,1.80,5.60,0.33,4.40,5.00,0.89,1.70,6.50,8.20,5.30,0.80,0.70,3.10,3.90
362,Cameron Johnson,BRK,20.00,25.90,14.00,4.90,10.50,0.46,2.60,6.20,0.42,1.70,2.20,0.79,0.80,3.10,3.90,1.70,1.00,0.40,0.50,1.80
363,Jae'sean Tate,HOU,20.00,21.00,7.70,3.10,6.80,0.45,0.40,1.30,0.31,1.20,1.90,0.65,1.60,2.30,3.90,2.60,0.60,0.20,1.70,3.30
364,Chuma Okeke,ORL,19.00,21.30,5.20,1.70,4.60,0.36,0.90,3.20,0.30,0.80,1.10,0.76,1.10,3.00,4.10,1.40,0.60,0.50,0.50,1.80
365,Khris Middleton,MIL,17.00,21.40,13.60,4.90,11.60,0.42,1.40,4.90,0.29,2.40,2.60,0.93,0.60,3.20,3.80,3.90,0.60,0.20,2.00,2.10
366,Cade Cunningham,DET,12.00,33.40,19.90,7.80,18.70,0.42,1.40,5.10,0.28,3.00,3.60,0.84,1.00,5.20,6.20,6.00,0.80,0.60,3.30,2.80
367,Otto Porter,TOR,8.00,18.30,5.50,1.90,3.80,0.50,0.80,2.10,0.35,1.00,1.00,1.00,0.80,1.60,2.40,1.00,1.40,0.00,0.50,0.90
368,Joshua Primo,SAS,4.00,23.30,7.00,2.30,6.50,0.35,0.80,3.00,0.25,1.80,2.30,0.78,0.50,2.80,3.30,4.50,0.30,0.50,2.80,2.00
