#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
137,Rudy Gobert,MIN,50.00,30.50,13.30,5.10,7.50,0.68,0.00,0.10,0.00,3.10,4.70,0.67,3.20,8.40,11.60,0.90,0.80,1.30,1.80,3.00
138,Fred VanVleet,TOR,50.00,36.90,19.70,6.40,16.30,0.39,3.00,8.70,0.34,3.80,4.30,0.89,0.50,3.80,4.30,6.60,1.60,0.60,1.90,2.90
139,Myles Turner,IND,50.00,29.80,17.50,6.20,11.70,0.54,1.60,4.10,0.38,3.50,4.50,0.79,1.60,6.40,8.00,1.30,0.60,2.30,1.60,3.30
140,Malcolm Brogdon,BOS,50.00,25.30,14.70,5.10,10.60,0.48,2.00,4.40,0.46,2.50,2.80,0.89,0.70,3.50,4.20,3.70,0.60,0.30,1.60,1.60
141,Monte Morris,WAS,50.00,28.10,10.30,4.00,8.20,0.48,1.30,3.30,0.40,1.10,1.30,0.81,0.40,3.00,3.40,5.30,0.70,0.20,1.00,1.30
142,John Collins,ATL,50.00,31.10,13.20,5.20,10.20,0.51,0.80,3.20,0.25,2.10,2.60,0.81,1.10,6.00,7.10,1.20,0.70,1.20,1.20,3.30
143,"Gary Trent, Jr,",TOR,50.00,33.60,18.60,6.50,14.80,0.44,2.60,7.20,0.37,2.90,3.50,0.83,0.40,2.20,2.60,1.60,1.70,0.30,0.90,1.70
144,Norman Powell,LAC,50.00,25.80,17.00,5.70,11.70,0.49,2.00,4.80,0.42,3.60,4.50,0.81,0.40,2.70,3.10,1.80,0.80,0.30,1.60,2.00
145,Luguentz Dort,OKC,50.00,29.90,14.00,4.80,11.60,0.41,1.90,5.30,0.36,2.60,3.40,0.76,1.40,2.80,4.10,2.20,1.00,0.30,1.30,3.30
146,Corey Kispert,WAS,50.00,27.20,9.50,3.30,6.90,0.48,1.90,4.50,0.42,1.00,1.20,0.86,0.40,2.30,2.70,1.20,0.60,0.10,0.80,1.30
147,Hamidou Diallo,DET,50.00,16.80,8.70,3.50,6.00,0.59,0.10,0.40,0.28,1.50,2.60,0.59,1.00,2.40,3.30,0.90,0.90,0.30,1.20,2.20
148,Josh Okogie,PHX,50.00,15.00,6.30,2.10,4.90,0.42,0.70,2.10,0.35,1.40,2.10,0.70,1.50,1.70,3.20,1.20,0.70,0.40,0.80,1.50
149,Montrezl Harrell,PHI,50.00,12.50,5.70,2.20,3.70,0.61,0.00,0.00,0.00,1.20,1.70,0.69,1.20,1.60,2.80,0.60,0.30,0.50,0.60,1.50
150,Kendrick Nunn,WAS,50.00,14.60,7.20,2.80,6.50,0.43,1.10,3.20,0.34,0.50,0.60,0.84,0.20,1.40,1.60,1.30,0.40,0.10,0.90,1.00
151,Aaron Holiday,ATL,50.00,14.50,4.20,1.60,3.70,0.42,0.60,1.50,0.41,0.50,0.60,0.86,0.40,0.90,1.30,1.30,0.50,0.20,0.60,1.40
152,Pascal Siakam,TOR,49.00,37.70,25.20,9.10,18.80,0.48,1.40,4.10,0.34,5.70,7.50,0.77,1.90,5.90,7.80,6.10,0.80,0.60,2.60,3.40
153,Aaron Gordon,DEN,49.00,30.30,17.30,6.60,11.20,0.59,1.00,2.60,0.40,3.10,5.00,0.62,2.40,4.40,6.90,2.90,0.80,0.80,1.60,1.90
154,Jakob Poeltl,TOR,49.00,26.10,12.20,5.30,8.40,0.63,0.00,0.00,0.00,1.60,2.80,0.59,3.30,5.60,8.90,3.00,0.80,1.20,2.10,2.70
